Original,,,Translated
3,,,3
Aachen,,,Aachen
Nordrhein,,,North Rhine
7374,,,7374
Ahaus,,,Ahaus
Nordrhein,,,North Rhine
52,,,52
Ahrensburg,,,Ahrensburg
Wulfsdorf,,,Wulfsdorf
71,,,71
Albstadt,,,Albstadt
Badkap,,,Badkap
73,,,73
Aldersbach,,,Aldersbach
Kriestorf,,,Kriestorf
7367,,,7367
Alfeld,,,Alfeld
Niedersachsen,,,Lower Saxony
78,,,78
Alfhausen,,,Alfhausen
Niedersachsen,,,Lower Saxony
91,,,91
Alsfeld,,,Alsfeld
Eifa,,,Eifa
125,,,125
Altenstadt,,,Old City
Bayern,,,Bavaria
4189,,,4189
Altheim,,,Altheim
Kreis,,,Circuit
142,,,142
AltomÅnster,,,Altomuenster
Maisbrunn,,,Maisbrunn
150,,,150
Alzey,,,Alzey
Rheinland,,,Rhineland
151,,,151
Amberg,,,On The Mountain
Unterammersricht,,,Under Ammersricht
154,,,154
Amerang,,,Amerang
Pfaffing,,,Pfaffing
161,,,161
Andernach,,,Andernach
Rheinland,,,Rhineland
164,,,164
AngermÅnde,,,AngermÅnde
Brandenburg,,,Brandenburg
167,,,167
Anklam,,,Anklam
Mecklenburg,,,Mecklenburg
175,,,175
Ansbach,,,Ansbach
Bayern,,,Bavaria
181,,,181
Arendsee,,,Arendsee
Sachsen,,,Saxony
183,,,183
Arkona,,,Arkona
Mecklenburg,,,Mecklenburg
7330,,,7330
Arnsberg,,,Arnsberg
Neheim,,,Neheim
191,,,191
Arnstein,,,Arnstein
MÅdesheim,,,MÅdesheim
198,,,198
Artern,,,Hardeners
ThÅringen,,,Thuringia
3226,,,3226
Aschersleben,,,Aschersleben
Mehringen,,,Mehringen
217,,,217
Attenkam,,,Attenkam
Bayern,,,Bavaria
222,,,222
Aue,,,Aue
Sachsen,,,Saxony
232,,,232
Augsburg,,,Augsburg
Bayern,,,Bavaria
238,,,238
Aulendorf,,,Aulendorf
Spiegler,,,Spiegler
257,,,257
Baden,,,Baden
Baden,,,Baden
268,,,268
Baiersbronn,,,Baiersbronn
Obertal,,,Obertal
13903,,,13903
Bake,,,Bake
Zulu,,,Zulu
282,,,282
Bamberg,,,Bamberg
Bayern,,,Bavaria
294,,,294
Barsinghausen,,,Barsinghausen
Hohenbostel,,,Hohenbostel
298,,,298
Barth,,,Barth
Mecklenburg,,,Mecklenburg
303,,,303
Baruth,,,Baruth
Brandenburg,,,Brandenburg
5822,,,5822
Bassum,,,Bassum
Niedersachsen,,,Lower Saxony
326,,,326
Beckum,,,Beckum
Unterberg,,,Unterberg
330,,,330
Beerfelden,,,Beerfelden
Hessen,,,Hesse
342,,,342
Belm,,,BelÇm
Niedersachsen,,,Lower Saxony
348,,,348
Bendorf,,,Bendorf
Rheinland,,,Rhineland
361,,,361
Berchtesgaden,,,Berchtesgaden
KKst,,,KKst
5825,,,5825
Berge,,,Mountains
Brandenburg,,,Brandenburg
368,,,368
Bergen,,,Recover
Niedersachsen,,,Lower Saxony
377,,,377
Bergzabern,,,Bergzabern
Bad,,,Bathroom
390,,,390
Berleburg,,,Berleburg
Bad,,,Bathroom
396,,,396
Berlin,,,Berlin
Alexanderplatz,,,Alexanderplatz
445,,,445
Bernburg,,,Bernburg
Saale,,,Saale
450,,,450
Bernkastel,,,Bernkastel
Kues,,,Kues
2252,,,2252
Bertsdorf,,,Bert village
Hîrnitz,,,Hoernitz
460,,,460
Berus,,,Berus
Saarland,,,Saarland
2323,,,2323
Bevern,,,Bevern
Kr,,,Kr
7106,,,7106
Bielefeld,,,Bielefeld
Deppendorf,,,Depp village
1411,,,1411
Birx,,,Birx
Rhîn,,,Rhîn
535,,,535
Blankenrath,,,Blank Rath
Rheinland,,,Rhineland
553,,,553
Bocholt,,,Bocholt
Marienschule,,,Marie School
555,,,555
Bochum,,,Bochum
Nordrhein,,,North Rhine
591,,,591
Boizenburg,,,Boizenburg
Mecklenburg,,,Mecklenburg
596,,,596
Boltenhagen,,,Bolton
Mecklenburg,,,Mecklenburg
598,,,598
Bonn,,,Bonn
Nordrhein,,,North Rhine
617,,,617
Borken,,,Borken
in,,,in
7373,,,7373
Borkum,,,Borkum
Flugplatz,,,Airfield
656,,,656
Braunlage,,,Brown Location
Niedersachsen,,,Lower Saxony
662,,,662
Braunschweig,,,Brunswick
Niedersachsen,,,Lower Saxony
685,,,685
Breitsol,,,Breitsol
Bayern,,,Bavaria
691,,,691
Bremen,,,Bremen
Bremen,,,Bremen
701,,,701
Bremerhaven,,,Bremerhaven
Bremen,,,Bremen
704,,,704
Bremervîrde,,,Bremervîrde
Niedersachsen,,,Lower Saxony
6264,,,6264
Brilon,,,Brilon
ThÅlen,,,ThÅlen
722,,,722
Brocken,,,Chunk
Sachsen,,,Saxony
755,,,755
Buchen,,,Book
Kr,,,Kr
757,,,757
Buchenbach,,,Book Bach
Baden,,,Baden
817,,,817
Burgwald,,,Castle Forest
Bottendorf,,,Bottendorf
766,,,766
BÅchel,,,BÅchel
Flugplatz,,,Airfield
769,,,769
BÅckeburg,,,BÅckeburg
Niedersachsen,,,Lower Saxony
840,,,840
Carlsfeld,,,Carl field
Sachsen,,,Saxony
850,,,850
Celle,,,Celle
Niedersachsen,,,Lower Saxony
853,,,853
Chemnitz,,,Chemnitz
Sachsen,,,Saxony
856,,,856
Chieming,,,Chieming
Bayern,,,Bavaria
863,,,863
Clausthal,,,Clausthal
Zellerfeld,,,Zellerfeld
6170,,,6170
Coschen,,,Coschen
Brandenburg,,,Brandenburg
879,,,879
Cottbus,,,Cottbus
Flugplatz,,,Airfield
891,,,891
Cuxhaven,,,Cuxhaven
Niedersachsen,,,Lower Saxony
3164,,,3164
Cîlbe,,,Coelbe
Kr,,,Kr
896,,,896
Dachwig,,,Dachwig
ThÅringen,,,Thuringia
5832,,,5832
Dannenberg,,,Dannenberg
Niedersachsen,,,Lower Saxony
917,,,917
Darmstadt,,,Darmstadt
Hessen,,,Hesse
6273,,,6273
Demker,,,Demker
Sachsen,,,Saxony
953,,,953
Deuselbach,,,Deuselbach
Rheinland,,,Rhineland
7343,,,7343
Deutschneudorf,,,German Neudorf
BrÅderwiese,,,Brothers meadow
963,,,963
Diepholz,,,Diepholz
Niedersachsen,,,Lower Saxony
979,,,979
Dillenburg,,,Dillenburg
Hessen,,,Hesse
982,,,982
Dillingen,,,Dillingen
Donau,,,Danube
991,,,991
Dippoldiswalde,,,Dippoldiswalde
Reinberg,,,Reinberg
1001,,,1001
Doberlug,,,Doberlug
Kirchhain,,,Kirchhain
7319,,,7319
Donauwîrth,,,Donauwîrth
Osterweiler,,,Osterweiler
1048,,,1048
Dresden,,,Dresden
Klotzsche,,,Klotzsche
1052,,,1052
Drewitz,,,Drewitz
bei,,,with
13670,,,13670
Duisburg,,,Duisburg
Baerl,,,Baerl
6163,,,6163
Dîrnick,,,Dîrnick
Schleswig,,,Schleswig
6159,,,6159
Dîrpen,,,Dîrpen
Niedersachsen,,,Lower Saxony
1072,,,1072
DÅrkheim,,,Durkheim
Bad,,,Bathroom
1078,,,1078
DÅsseldorf,,,Dusseldorf
Nordrhein,,,North Rhine
1103,,,1103
Ebersberg,,,Ebersberg
Halbing,,,Halbing
1107,,,1107
Ebrach,,,Ebrach
Bayern,,,Bavaria
1130,,,1130
Eggebek,,,Eggebek
Schleswig,,,Schleswig
1161,,,1161
EichstÑtt,,,EichstÑtt
Landershofen,,,Landershofen
7368,,,7368
Eisenach,,,Eisenach
ThÅringen,,,Thuringia
1197,,,1197
Ellwangen,,,Ellwangen
Rindelbach,,,Rindelbach
1200,,,1200
ElpersbÅttel,,,ElpersbÅttel
Schleswig,,,Schleswig
7075,,,7075
Elsendorf,,,Elsendorf
Horneck,,,Horneck
1207,,,1207
Elster,,,Magpie
Bad,,,Bathroom
1214,,,1214
Elzach,,,Elzach
Fisnacht,,,Fisnacht
1219,,,1219
Emden,,,Emden
Nesserland,,,Ness Erland
1224,,,1224
Emmendingen,,,Emmendingen
Mundingen,,,Mundingen
1239,,,1239
Engen,,,Close
Hegau,,,Hegau
1255,,,1255
Eppingen,,,Eppingen
Elsenz,,,Elsenz
1266,,,1266
Erfde,,,Erfde
Schleswig,,,Schleswig
1270,,,1270
Erfurt,,,Erfurt
Weimar,,,Weimar
1297,,,1297
Eschwege,,,Eschwege
Hessen,,,Hesse
1300,,,1300
Eslohe,,,Eslohe
Nordrhein,,,North Rhine
1303,,,1303
Essen,,,Food
Bredeney,,,Bredeney
1332,,,1332
Falkenberg,,,Falkenberg
Kr,,,Kr
1339,,,1339
Fa·berg,,,Fassberg
Niedersachsen,,,Lower Saxony
5516,,,5516
Fehmarn,,,Fehmarn
Schleswig,,,Schleswig
1341,,,1341
Fehmarnbelt,,,Fehmarn Belt
Schleswig,,,Schleswig
1346,,,1346
Feldberg,,,Feldberg
Schwarzwald,,,Black forest
7369,,,7369
Feuchtwangen,,,Feuchtwangen
Heilbronn,,,Heilbronn
1357,,,1357
Fichtelberg,,,Fichtelberg
Oberfranken,,,Upper Franconia
1420,,,1420
Frankfurt,,,Frankfurt
Main,,,Main
1443,,,1443
Freiburg,,,Freiburg
Baden,,,Baden
7187,,,7187
Freudenberg,,,Freudenberg
Main,,,Main
1468,,,1468
