,Provider,city,date,offset,Air Temperature,Max Air Temp,Min Air Temp,Precipitation
0,accuweather,berlin,2015-06-21 00:00:00,0,,-0.4,-1.92222222222,2.67
0,accuweather,berlin,2015-06-21 00:00:00,1,,1.26666666667,0.3,2.62
0,accuweather,berlin,2015-06-21 00:00:00,2,,1.82222222222,-0.255555555556,2.7
0,accuweather,berlin,2015-06-21 00:00:00,3,,2.37777777778,-0.255555555556,2.7
0,accuweather,berlin,2015-06-21 00:00:00,4,,1.82222222222,0.3,2.62
0,accuweather,berlin,2015-06-21 00:00:00,5,,0.155555555556,-0.255555555556,2.6
0,accuweather,berlin,2015-06-21 00:00:00,6,,-0.955555555556,-0.255555555556,2.53
0,openweathermap,berlin,2015-06-21 00:00:00,0,-2.1,3.3,-0.93,-2.3
0,openweathermap,berlin,2015-06-21 00:00:00,1,-0.03,4.56,-1.2,-1.14
0,openweathermap,berlin,2015-06-21 00:00:00,2,0.76,3.63,-0.91,0.99
0,openweathermap,berlin,2015-06-21 00:00:00,3,0.13,4.27,-1.53,2.43
0,openweathermap,berlin,2015-06-21 00:00:00,4,-1.17,3.28,0.57,1.34
0,openweathermap,berlin,2015-06-21 00:00:00,5,-0.75,4.65,-0.66,-3.06
0,openweathermap,berlin,2015-06-21 00:00:00,6,-2.32,3.08,-2.38,0.27
0,weatherdotcom,berlin,2015-06-21 00:00:00,0,2.2,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,1,-5.8,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,2,-4.8,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,3,-3.8,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,4,-0.8,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,5,-5.8,,,
0,weatherdotcom,berlin,2015-06-21 00:00:00,6,-8.8,,,
0,accuweather,berlin,2015-06-22 00:00:00,0,,-0.588888888889,1.08888888889,2.68
0,accuweather,berlin,2015-06-22 00:00:00,1,,-1.7,-0.0222222222222,2.55
0,accuweather,berlin,2015-06-22 00:00:00,2,,-1.7,-0.0222222222222,2.43
0,accuweather,berlin,2015-06-22 00:00:00,3,,0.522222222222,1.64444444444,2.8
0,accuweather,berlin,2015-06-22 00:00:00,4,,1.07777777778,2.2,2.7
0,accuweather,berlin,2015-06-22 00:00:00,5,,0.522222222222,2.2,2.82
0,accuweather,berlin,2015-06-22 00:00:00,6,,1.63333333333,2.2,2.9
0,openweathermap,berlin,2015-06-22 00:00:00,0,-2.11,1.25,0.21,-0.77
0,openweathermap,berlin,2015-06-22 00:00:00,1,-4.17,-0.07,0.23,2.9
0,openweathermap,berlin,2015-06-22 00:00:00,2,-3.52,0.36,-0.33,2.7
0,openweathermap,berlin,2015-06-22 00:00:00,3,-2.52,-0.07,-0.24,2.9
0,openweathermap,berlin,2015-06-22 00:00:00,4,-4.2,-0.9,1.79,2.9
0,openweathermap,berlin,2015-06-22 00:00:00,5,-2.97,1.13,0.95,-6.43
0,openweathermap,berlin,2015-06-22 00:00:00,6,-0.97,2.14,1.7,-1.02
0,weatherdotcom,berlin,2015-06-22 00:00:00,0,0.2,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,1,-4.8,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,2,-3.8,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,3,-0.8,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,4,-7.8,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,5,-5.8,,,
0,weatherdotcom,berlin,2015-06-22 00:00:00,6,-7.8,,,
0,accuweather,berlin,2015-06-23 00:00:00,0,,-3.81111111111,-0.555555555556,11.1
0,accuweather,berlin,2015-06-23 00:00:00,1,,-6.58888888889,-1.11111111111,10.96
0,accuweather,berlin,2015-06-23 00:00:00,2,,-7.14444444444,-1.11111111111,11.2
0,accuweather,berlin,2015-06-23 00:00:00,3,,-7.7,-2.22222222222,10.97
0,accuweather,berlin,2015-06-23 00:00:00,4,,-6.58888888889,-1.11111111111,11.22
0,accuweather,berlin,2015-06-23 00:00:00,5,,-4.92222222222,0.0,11.21
0,accuweather,berlin,2015-06-23 00:00:00,6,,-5.47777777778,-0.555555555556,11.3
0,openweathermap,berlin,2015-06-23 00:00:00,0,-5.88,-5.08,-1.72,4.37
0,openweathermap,berlin,2015-06-23 00:00:00,1,-5.26,-4.46,-1.35,-0.83
0,openweathermap,berlin,2015-06-23 00:00:00,2,-4.36,-4.95,-1.61,1.63
0,openweathermap,berlin,2015-06-23 00:00:00,3,-6.55,-5.75,-2.24,9.71
0,openweathermap,berlin,2015-06-23 00:00:00,4,-8.58,-7.78,-4.02,5.32
0,openweathermap,berlin,2015-06-23 00:00:00,5,-11.79,-10.99,-6.4,10.43
0,openweathermap,berlin,2015-06-23 00:00:00,6,-7.97,-7.17,-4.45,10.35
0,weatherdotcom,berlin,2015-06-23 00:00:00,0,-0.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,1,-2.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,2,-4.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,3,-11.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,4,-10.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,5,-10.5,,,
0,weatherdotcom,berlin,2015-06-23 00:00:00,6,-10.5,,,
0,accuweather,berlin,2015-06-24 00:00:00,0,,0.0888888888889,0.2,0.18
